src,dst,2017,2018,2019
Amazon DynamoDB,Apache Hive,0,195,0
Amazon DynamoDB,Apple Watch or Apple TV,0,114,0
Amazon DynamoDB,Arduino,0,400,0
Amazon DynamoDB,Atom,0,830,0
Amazon DynamoDB,Azure,0,493,0
Amazon DynamoDB,BSD/Unix,0,8,0
Amazon DynamoDB,Coda,0,53,0
Amazon DynamoDB,Cordova,0,311,0
Amazon DynamoDB,Django,0,476,0
Amazon DynamoDB,Drupal,0,169,0
Amazon DynamoDB,ESP8266,0,125,0
Amazon DynamoDB,Eclipse,0,548,0
Amazon DynamoDB,Elasticsearch,0,1235,0
Amazon DynamoDB,Emacs,0,218,0
Amazon DynamoDB,Firebase,0,675,0
Amazon DynamoDB,Gaming console,0,77,0
Amazon DynamoDB,Google BigQuery,0,242,0
Amazon DynamoDB,Google Cloud Platform/App Engine,0,557,0
Amazon DynamoDB,Google Cloud Storage,0,378,0
Amazon DynamoDB,Google Home,0,119,0
Amazon DynamoDB,Hadoop,0,310,0
Amazon DynamoDB,Heroku,0,593,0
Amazon DynamoDB,IBM Cloud or Watson,0,149,0
Amazon DynamoDB,IPython / Jupyter,0,361,0
Amazon DynamoDB,IntelliJ,0,1376,0
Amazon DynamoDB,Komodo,0,45,0
Amazon DynamoDB,Light Table,0,38,0
Amazon DynamoDB,Linux,0,1893,0
Amazon DynamoDB,Linux-based,0,798,0
Amazon DynamoDB,MacOS,0,2659,0
Amazon DynamoDB,Mainframe,0,51,0
Amazon DynamoDB,Memcached,0,530,0
Amazon DynamoDB,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",0,330,0
Amazon DynamoDB,Neo4j,0,226,0
Amazon DynamoDB,NetBeans,0,207,0
Amazon DynamoDB,Node.js,0,2009,0
Amazon DynamoDB,Notepad++,0,763,0
Amazon DynamoDB,PHPStorm,0,337,0
Amazon DynamoDB,Predix,0,35,0
Amazon DynamoDB,PyCharm,0,559,0
Amazon DynamoDB,RStudio,0,140,0
Amazon DynamoDB,Raspberry Pi,0,723,0
Amazon DynamoDB,React,0,1276,0
Amazon DynamoDB,RubyMine,0,120,0
Amazon DynamoDB,Salesforce,0,171,0
Amazon DynamoDB,Serverless,0,1019,0
Amazon DynamoDB,SharePoint,0,100,0
Amazon DynamoDB,Spark,0,330,0
Amazon DynamoDB,Spring,0,739,0
Amazon DynamoDB,Sublime Text,0,1148,0
Amazon DynamoDB,TensorFlow,0,352,0
Amazon DynamoDB,TextMate,0,89,0
Amazon DynamoDB,Torch/PyTorch,0,114,0
Amazon DynamoDB,Vim,0,1371,0
Amazon DynamoDB,Visual Studio,0,786,0
Amazon DynamoDB,Visual Studio Code,0,1450,0
Amazon DynamoDB,Windows,0,1510,0
Amazon DynamoDB,Windows Phone,0,114,0
Amazon DynamoDB,WordPress,0,561,0
Amazon DynamoDB,Xamarin,0,191,0
Amazon DynamoDB,Xcode,0,468,0
Amazon DynamoDB,Zend,0,51,0
Amazon DynamoDB,iOS,0,617,0
Amazon Echo,.NET Core,0,450,0
Amazon Echo,AWS,0,1078,0
Amazon Echo,Android,0,847,0
Amazon Echo,Android Studio,0,576,0
Amazon Echo,Angular/Angular.js,0,725,0
Amazon Echo,Apple Watch or Apple TV,0,198,0
Amazon Echo,Arduino,0,459,0
Amazon Echo,Atom,0,559,0
Amazon Echo,Azure,0,400,0
Amazon Echo,BSD/Unix,0,7,0
Amazon Echo,Coda,0,60,0
Amazon Echo,Cordova,0,231,0
Amazon Echo,Django,0,268,0
Amazon Echo,Drupal,0,132,0
Amazon Echo,ESP8266,0,168,0
Amazon Echo,Eclipse,0,406,0
Amazon Echo,Emacs,0,124,0
Amazon Echo,Firebase,0,484,0
Amazon Echo,Gaming console,0,122,0
Amazon Echo,Google Cloud Platform/App Engine,0,385,0
